,device_id,primary_port,vlan_id
0,0,1,2461
1,0,1,2462
2,0,1,2464
3,0,1,2465
4,0,1,2467
5,0,1,2468
6,0,1,2469
7,0,1,2470
8,0,1,2471
9,0,1,2473
10,0,1,2474
11,0,1,2476
12,0,1,2478
13,0,1,2479
14,0,1,2480
15,0,1,2481
16,0,1,2483
17,0,1,2485
18,0,1,2486
19,0,1,2487
20,0,1,2488
21,0,1,2489
22,0,1,2490
23,0,1,2492
24,0,1,2493
25,0,1,2494
26,0,1,2495
27,0,1,2496
28,0,1,2497
29,0,1,2498
30,0,1,2499
31,0,1,2500
32,0,1,2501
33,0,1,2502
34,0,1,2503
35,0,1,2504
36,0,1,2506
37,0,1,2507
38,0,1,2508
39,0,1,2510
40,0,1,2511
41,0,1,2512
42,0,1,2514
43,0,1,2516
44,0,1,2518
45,0,1,2519
46,0,1,2522
47,0,1,2523
48,0,1,2524
49,0,1,2525
50,0,1,2526
51,0,1,2527
52,0,1,2528
53,0,1,2529
54,0,1,2534
55,0,1,2535
56,0,1,2536
57,0,1,2537
58,0,1,2540
59,0,1,2542
60,0,1,2543
61,0,1,2544
62,0,1,2545
63,0,1,2546
64,0,1,2547
65,0,1,2548
66,0,1,2549
67,0,1,2550
68,0,1,2551
69,0,1,2552
70,0,1,2554
71,0,1,2555
72,0,1,2556
73,0,1,2557
74,0,1,2559
75,0,1,2560
76,0,1,2561
77,0,1,2562
78,0,1,2564
79,0,1,2565
80,0,1,2566
81,0,1,2567
82,0,1,2568
83,0,1,2569
84,0,1,2570
85,0,1,2575
86,0,1,2576
87,0,1,2577
88,0,1,2578
89,0,1,2579
90,0,1,2580
91,0,1,2583
92,0,1,2585
93,0,1,2586
94,0,1,2587
95,0,1,2588
96,0,1,2589
97,0,1,2590
98,0,1,2591
99,0,1,2592
100,0,1,2593
101,0,1,2594
102,0,1,2595
103,0,1,2596
104,0,1,2600
105,0,1,2604
106,0,1,2605
107,0,1,2606
108,0,1,2607
109,0,1,2608
110,0,1,2609
111,0,1,2610
112,0,1,2612
113,0,1,2613
114,0,1,2614
115,0,1,2616
116,0,1,2617
117,0,1,2618
118,0,1,2619
119,0,1,2621
120,0,1,2622
121,0,1,2624
122,0,1,2626
123,0,1,2627
124,0,1,2629
125,0,1,2630
126,0,1,2631
127,0,1,2633
128,0,1,2634
129,0,1,2635
130,0,1,2636
131,0,1,2637
132,0,1,2640
133,0,1,2641
134,0,1,2642
135,0,1,2644
136,0,1,2645
137,0,1,2646
138,0,1,2647
139,0,1,2649
140,0,1,2650
141,0,1,2651
142,0,1,2652
143,0,1,2653
144,0,1,2654
145,0,1,2656
146,0,1,2659
147,0,1,2660
148,0,1,2661
