,device_id,primary_port,vlan_id
0,0,1,2
1,0,1,3
2,0,1,4
3,0,1,5
4,0,1,6
5,0,1,8
6,0,1,9
7,0,1,10
8,0,1,11
9,0,1,13
10,0,1,14
11,0,1,15
12,0,1,16
13,0,1,18
14,0,1,20
15,0,1,22
16,0,1,23
17,0,1,24
18,0,1,27
19,0,1,28
20,0,1,29
21,0,1,30
22,0,1,32
23,0,1,33
24,0,1,34
25,0,1,35
26,0,1,36
27,0,1,37
28,0,1,38
29,0,1,39
30,0,1,40
31,0,1,41
32,0,1,42
33,0,1,43
34,0,1,44
35,0,1,45
36,0,1,46
37,0,1,47
38,0,1,48
39,0,1,49
40,0,1,50
41,0,1,51
42,0,1,52
43,0,1,53
44,0,1,55
45,0,1,56
46,0,1,57
47,0,1,59
48,0,1,61
49,0,1,62
50,0,1,63
51,0,1,64
52,0,1,65
53,0,1,66
54,0,1,67
55,0,1,69
56,0,1,71
57,0,1,72
58,0,1,73
59,0,1,74
60,0,1,77
61,0,1,79
62,0,1,80
63,0,1,81
64,0,1,82
65,0,1,83
66,0,1,84
67,0,1,85
68,0,1,86
69,0,1,87
70,0,1,88
71,0,1,89
72,0,1,91
73,0,1,92
74,0,1,93
75,0,1,95
76,0,1,96
77,0,1,97
78,0,1,98
79,0,1,99
80,0,1,101
81,0,1,102
82,0,1,103
83,0,1,104
84,0,1,109
85,0,1,110
86,0,1,111
87,0,1,112
88,0,1,113
89,0,1,114
90,0,1,115
91,0,1,116
92,0,1,118
93,0,1,119
94,0,1,121
95,0,1,122
96,0,1,124
97,0,1,125
98,0,1,127
99,0,1,128
100,0,1,131
101,0,1,134
102,0,1,135
103,0,1,136
104,0,1,137
105,0,1,138
106,0,1,139
107,0,1,140
108,0,1,142
109,0,1,145
110,0,1,146
111,0,1,147
112,0,1,148
113,0,1,150
114,0,1,151
115,0,1,153
116,0,1,154
117,0,1,155
118,0,1,156
119,0,1,158
120,0,1,160
121,0,1,162
122,0,1,163
123,0,1,164
124,0,1,165
125,0,1,166
126,0,1,167
127,0,1,168
128,0,1,169
129,0,1,171
130,0,1,172
131,0,1,173
132,0,1,174
133,0,1,175
134,0,1,176
135,0,1,177
136,0,1,179
137,0,1,180
138,0,1,182
139,0,1,183
140,0,1,184
141,0,1,186
142,0,1,189
143,0,1,190
144,0,1,191
145,0,1,192
146,0,1,193
147,0,1,194
148,0,1,196
149,0,1,197
150,0,1,198
151,0,1,199
152,0,1,200
153,0,1,201
154,0,1,202
155,0,1,203
156,0,1,204
157,0,1,205
158,0,1,208
159,0,1,209
160,0,1,210
161,0,1,212
162,0,1,213
163,0,1,215
164,0,1,217
165,0,1,218
166,0,1,219
167,0,1,220
168,0,1,221
169,0,1,222
